position rank,name team
1. (RB1),"Le'Veon Bell, PIT"
2. (RB2),"Adrian Peterson, MIN"
3. (RB3),"Jamaal Charles, KC"
4. (RB4),"Eddie Lacy, GB"
5. (RB5),"Marshawn Lynch, SEA"
6. (WR1),"Antonio Brown, PIT"
7. (WR2),"Julio Jones, ATL"
8. (WR3),"Demaryius Thomas, DEN"
9. (WR4),"Odell Beckham Jr., NYG"
10. (WR5),"Dez Bryant, DAL"
11. (WR6),"Calvin Johnson, DET"
12. (WR7),"Randall Cobb, GB"
13. (TE1),"Rob Gronkowski, NE"
14. (WR8),"A.J. Green, CIN"
15. (RB6),"C.J. Anderson, DEN"
16. (WR9),"Alshon Jeffery, CHI"
17. (RB7),"Matt Forte, CHI"
18. (RB8),"LeSean McCoy, BUF"
19. (RB9),"Jeremy Hill, CIN"
20. (WR10),"Mike Evans, TB"
21. (WR11),"Brandin Cooks, NO"
22. (WR12),"T.Y. Hilton, IND"
23. (RB10),"Justin Forsett, BAL"
24. (RB11),"Lamar Miller, MIA"
25. (RB12),"DeMarco Murray, PHI"
26. (WR13),"Emmanuel Sanders, DEN"
27. (RB13),"Frank Gore, IND"
28. (RB14),"Arian Foster, HOU"
29. (WR14),"Julian Edelman, NE"
30. (WR15),"Keenan Allen, SD"
31. (RB15),"Mark Ingram, NO"
32. (WR16),"DeAndre Hopkins, HOU"
33. (QB1),"Andrew Luck, IND"
34. (RB16),"Andre Ellington, ARI"
35. (RB17),"Carlos Hyde, SF"
36. (WR17),"Brandon Marshall, NYJ"
37. (RB18),"Alfred Morris, WAS"
38. (QB2),"Aaron Rodgers, GB"
39. (RB19),"Latavius Murray, OAK"
40. (RB20),"C.J. Spiller, NO"
41. (WR18),"Andre Johnson, IND"
42. (WR19),"Jeremy Maclin, KC"
43. (WR20),"Jordan Matthews, PHI"
44. (RB21),"Melvin Gordon, SD"
45. (WR21),"Jarvis Landry, MIA"
46. (WR22),"Golden Tate, DET"
47. (WR23),"Amari Cooper, OAK"
48. (WR24),"Allen Robinson, JAC"
49. (RB22),"Ameer Abdullah, DET"
50. (RB23),"Jonathan Stewart, CAR"
51. (RB24),"T.J. Yeldon, JAC"
52. (TE2),"Travis Kelce, KC"
53. (TE3),"Jimmy Graham, SEA"
54. (TE4),"Greg Olsen, CAR"
55. (WR25),"Vincent Jackson, TB"
56. (WR26),"DeSean Jackson, WAS"
57. (WR27),"Sammy Watkins, BUF"
58. (RB25),"Todd Gurley, STL"
59. (RB26),"Giovani Bernard, CIN"
60. (RB27),"Isaiah Crowell, CLE"
61. (WR28),"John Brown, ARI"
62. (WR29),"Steve Smith Sr., BAL"
63. (QB3),"Drew Brees, NO"
64. (QB4),"Russell Wilson, SEA"
65. (TE5),"Martellus Bennett, CHI"
66. (WR30),"Eric Decker, NYJ"
67. (QB5),"Peyton Manning, DEN"
68. (WR31),"Larry Fitzgerald, ARI"
69. (WR32),"Anquan Boldin, SF"
70. (WR33),"Michael Floyd, ARI"
71. (WR34),"Marques Colston, NO"
72. (WR35),"Davante Adams, GB"
73. (WR36),"Pierre Garcon, WAS"
74. (TE6),"Jason Witten, DAL"
75. (QB6),"Tom Brady, NE"
76. (QB7),"Tony Romo, DAL"
77. (RB28),"Chris Ivory, NYJ"
78. (RB29),"LeGarrette Blount, NE"
79. (RB30),"Danny Woodhead, SD"
80. (RB31),"Doug Martin, TB"
81. (WR37),"Kendall Wright, TEN"
82. (WR38),"Charles Johnson, MIN"
83. (WR39),"Nelson Agholor, PHI"
84. (TE7),"Delanie Walker, TEN"
85. (QB8),"Ben Roethlisberger, PIT"
86. (WR40),"Torrey Smith, SF"
87. (WR41),"Devin Funchess, CAR"
88. (WR42),"Martavis Bryant, PIT"
89. (WR43),"DeVante Parker, MIA"
90. (RB32),"Tevin Coleman, ATL"
91. (RB33),"Joique Bell, DET"
92. (RB34),"Devonta Freeman, ATL"
93. (RB35),"Duke Johnson, CLE"
94. (RB36),"Rashad Jennings, NYG"
95. (QB9),"Matt Ryan, ATL"
96. (QB10),"Ryan Tannehill, MIA"
97. (TE8),"Zach Ertz, PHI"
98. (TE9),"Jordan Cameron, MIA"
99. (TE10),"Larry Donnell, NYG"
100. (RB37),"Bishop Sankey, TEN"
101. (RB38),"Shane Vereen, NYG"
102. (RB39),"Joseph Randle, DAL"
103. (RB40),"Ryan Mathews, PHI"
104. (RB41),"Tre Mason, STL"
105. (WR44),"Mike Wallace, MIN"
106. (WR45),"Brian Quick, STL"
107. (WR46),"Roddy White, ATL"
108. (WR47),"Rueben Randle, NYG"
109. (WR48),"Eddie Royal, CHI"
110. (QB11),"Cam Newton, CAR"
111. (QB12),"Eli Manning, NYG"
112. (QB13),"Philip Rivers, SD"
113. (RB42),"Christine Michael, SEA"
114. (TE11),"Heath Miller, PIT"
115. (TE12),"Tyler Eifert, CIN"
116. (TE13),"Kyle Rudolph, MIN"
117. (TE14),"Jordan Reed, WAS"
118. (TE15),"Austin Seferian-Jenkins, TB"
119. (RB43),"Andre Williams, NYG"
120. (WR49),"Terrance Williams, DAL"
121. (WR50),"Victor Cruz, NYG"
122. (WR51),"Breshad Perriman, BAL"
123. (WR52),"Malcom Floyd, SD"
124. (QB14),"Sam Bradford, PHI"
125. (QB15),"Colin Kaepernick, SF"
126. (RB44),"Dion Lewis, NE"
127. (RB45),"Charles Sims, TB"
128. (WR53),"Stevie Johnson, SD"
129. (DST1),"Seattle Seahawks, SEA"
130. (DST2),"Buffalo Bills, BUF"
131. (DST3),"St. Louis Rams, STL"
132. (DST4),"Houston Texans, HOU"
133. (RB46),"David Johnson, ARI"
134. (RB47),"Ronnie Hillman, DEN"
135. (RB48),"Alfred Blue, HOU"
136. (TE16),"Owen Daniels, DEN"
137. (QB16),"Teddy Bridgewater, MIN"
138. (QB17),"Matthew Stafford, DET"
139. (RB49),"Knile Davis, KC"
140. (TE17),"Antonio Gates, SD"
141. (WR54),"Markus Wheaton, PIT"
142. (WR55),"Brandon Coleman, NO"
143. (RB50),"Matt Jones, WAS"
144. (WR56),"Cody Latimer, DEN"
145. (DST5),"New England Patriots, NE"
146. (DST6),"Cincinnati Bengals, CIN"
147. (DST7),"Denver Broncos, DEN"
148. (DST8),"Baltimore Ravens, BAL"
149. (K1),"Stephen Gostkowski, NE"
150. (DST9),"New York Jets, NYJ"
151. (DST10),"Miami Dolphins, MIA"
152. (K2),"Adam Vinatieri, IND"
153. (K3),"Steven Hauschka, SEA"
154. (K4),"Mason Crosby, GB"
155. (K5),"Cody Parkey, PHI"
156. (K6),"Dan Bailey, DAL"
157. (K7),"Justin Tucker, BAL"
158. (K8),"Matt Bryant, ATL"
159. (K9),"Blair Walsh, MIN"
160. (K10),"Brandon McManus, DEN"
161. (WR57),"Michael Crabtree, OAK"
162. (WR58),"Dorial Green-Beckham, TEN"
163. (RB51),"Khiry Robinson, NO"
164. (RB52),"Jerick McKinnon, MIN"
165. (RB53),"Cameron Artis-Payne, CAR"
166. (RB54),"Josh Robinson, IND"
167. (RB55),"Denard Robinson, JAC"
168. (RB56),"Roy Helu, OAK"
169. (RB57),"Darren McFadden, DAL"
170. (RB58),"Lorenzo Taliaferro, BAL"
171. (QB18),"Marcus Mariota, TEN"
172. (QB19),"Joe Flacco, BAL"
173. (TE18),"Julius Thomas, JAC"
174. (TE19),"Eric Ebron, DET"
175. (TE20),"Vernon Davis, SF"
176. (TE21),"Ladarius Green, SD"
177. (TE22),"Richard Rodgers, GB"
178. (WR59),"Brandon LaFell, NE"
179. (WR60),"Doug Baldwin, SEA"
180. (WR61),"Kenny Stills, MIA"
181. (WR62),"Kenny Britt, STL"
182. (WR63),"Percy Harvin, BUF"
183. (WR64),"Tyler Lockett, SEA"
184. (WR65),"Phillip Dorsett, IND"
185. (WR66),"Marvin Jones, CIN"
186. (RB59),"Darren Sproles, PHI"
187. (RB60),"Benny Cunningham, STL"
188. (TE23),"Dwayne Allen, IND"
189. (TE24),"Charles Clay, BUF"
190. (TE25),"Coby Fleener, IND"
191. (QB20),"Carson Palmer, ARI"
192. (QB21),"Jay Cutler, CHI"
193. (WR67),"Allen Hurns, JAC"
194. (WR68),"Danny Amendola, NE"
195. (WR69),"Kevin White, CHI"
196. (WR70),"James Jones, GB"
197. (WR71),"Donte Moncrief, IND"
198. (WR72),"Cole Beasley, DAL"
199. (WR73),"Devin Smith, NYJ"
200. (QB22),"Jameis Winston, TB"
201. (QB23),"Alex Smith, KC"
202. (WR74),"Leonard Hankerson, ATL"
203. (WR75),"Taylor Gabriel, CLE"
204. (WR76),"Ty Montgomery, GB"
205. (WR77),"Robert Woods, BUF"
206. (WR78),"Corey Brown, CAR"
207. (DST11),"Kansas City Chiefs, KC"
208. (DST12),"Arizona Cardinals, ARI"
209. (RB61),"James Starks, GB"
210. (RB62),"Karlos Williams, BUF"
211. (RB63),"Reggie Bush, SF"
212. (RB64),"Fred Jackson, BUF"
213. (RB65),"Lance Dunbar, DAL"
214. (DST13),"Detroit Lions, DET"
215. (RB66),"Chris Johnson, ARI"
216. (RB67),"Jeremy Langford, CHI"
217. (RB68),"DeAngelo Williams, PIT"
218. (RB69),"Bilal Powell, NYJ"
219. (WR79),"Greg Jennings, MIA"
220. (WR80),"Nate Washington, HOU"
221. (WR81),"Harry Douglas, TEN"
222. (WR82),"Chris Conley, KC"
223. (TE26),"Benjamin Watson, NO"
224. (TE27),"Jared Cook, STL"
225. (DST14),"Green Bay Packers, GB"
226. (DST15),"Philadelphia Eagles, PHI"
227. (TE28),"Jacob Tamme, ATL"
228. (DST16),"Carolina Panthers, CAR"
229. (DST17),"Cleveland Browns, CLE"
230. (RB70),"Javorius Allen, BAL"
231. (RB71),"Juwan Thompson, DEN"
232. (RB72),"Damien Williams, MIA"
233. (RB73),"Theo Riddick, DET"
234. (TE29),"Jeff Cumberland, NYJ"
235. (TE30),"Josh Hill, NO"
236. (WR83),"Dwayne Bowe, CLE"
237. (WR84),"Brian Hartline, CLE"
238. (WR85),"Jermaine Kearse, SEA"
239. (WR86),"Cecil Shorts, HOU"
240. (QB24),"Blake Bortles, JAC"
241. (QB25),"Derek Carr, OAK"
242. (QB26),"Andy Dalton, CIN"
243. (TE31),"Maxx Williams, BAL"
244. (TE32),"Mychal Rivera, OAK"
245. (TE33),"Clive Walford, OAK"
246. (WR87),"Marqise Lee, JAC"
247. (WR88),"Kamar Aiken, BAL"
248. (WR89),"Andrew Hawkins, CLE"
249. (WR90),"Mohamed Sanu, CIN"
250. (RB74),"Branden Oliver, SD"
251. (RB75),"Terrance West, CLE"
252. (RB76),"Dexter McCluster, TEN"
253. (RB77),"Antonio Andrews, TEN"
254. (RB78),"James White, NE"
255. (WR91),"Willie Snead, NO"
256. (WR92),"Jaelen Strong, HOU"
257. (WR93),"Josh Huff, PHI"
258. (WR94),"Tavon Austin, STL"
259. (WR95),"Jarius Wright, MIN"
260. (RB79),"Brandon Bolden, NE"
261. (RB80),"Travaris Cadet, NE"
262. (RB81),"Zach Zenner, DET"
263. (QB27),"Nick Foles, STL"
264. (QB28),"Kirk Cousins, WAS"
265. (WR96),"Justin Hunter, TEN"
266. (WR97),"Cordarrelle Patterson, MIN"
267. (WR98),"Albert Wilson, KC"
268. (RB82),"Zac Stacy, NYJ"
269. (RB83),"Mike Tolbert, CAR"
270. (K11),"Zach Hocker, NO"
271. (K12),"Josh Scobee, PIT"
272. (K13),"Matt Prater, DET"
273. (K14),"Chandler Catanzaro, ARI"
274. (WR99),"Riley Cooper, PHI"
275. (WR100),"Jerricho Cotchery, CAR"
276. (WR101),"Jeff Janis, GB"
277. (RB84),"Jacquizz Rodgers, CHI"
278. (RB85),"Dri Archer, PIT"
279. (RB86),"Vick Ballard, IND"
280. (RB87),"Toby Gerhart, JAC"
281. (WR102),"Sammie Coates, PIT"
282. (WR103),"Andre Roberts, WAS"
283. (QB29),"Ryan Fitzpatrick, NYJ"
284. (QB30),"Tyrod Taylor, BUF"
285. (TE34),"Crockett Gillmore, BAL"
286. (TE35),"Brent Celek, PHI"
287. (WR104),"Louis Murphy, TB"
288. (WR105),"Ted Ginn, CAR"
289. (RB88),"Matt Asiata, MIN"
290. (RB89),"Marcel Reece, OAK"
291. (RB90),"Jonathan Grimes, HOU"
292. (DST18),"Jacksonville Jaguars, JAC"
293. (DST19),"Indianapolis Colts, IND"
294. (DST20),"San Francisco 49ers, SF"
295. (K15),"Andrew Franks, MIA"
296. (K16),"Josh Lambo, SD"
297. (K17),"Dan Carpenter, BUF"
298. (K18),"Phil Dawson, SF"
299. (K19),"Randy Bullock, HOU"
300. (K20),"Mike Nugent, CIN"