depthCharts,Name
QB1,Ryan Fitzpatrick
QB2,Tarvaris Jackson
RB1,Fred Jackson
RB2,C.J. Spiller
RB3,Tashard Choice
WR1,Steve Johnson
WR2,David Nelson
WR3,Donald Jones
WR4,T.J. Graham (R)
TE1,Scott Chandler
TE2,Lee Smith
QB1,Joe Flacco
QB2,Tyrod Taylor
RB1,Ray Rice
RB2,Bernard Pierce (R)
RB3,Bobby Rainey (R)
WR1,Torrey Smith
WR2,Anquan Boldin
WR3,Jacoby Jones
WR4,Tandon Doss
TE1,Ed Dickson
TE2,Dennis Pitta
QB1,Matt Schaub
QB2,T.J. Yates
RB1,Arian Foster
RB2,Ben Tate
RB3,Justin Forsett
WR1,Andre Johnson
WR2,Kevin Walter
WR3,Lestar Jean
WR4,Keshawn Martin (R)
TE1,Owen Daniels
TE2,Garrett Graham
QB1,Peyton Manning
QB2,Caleb Hanie
RB1,Willis McGahee
RB2,Ronnie Hillman (R)
RB3,Knowshon Moreno
WR1,Demaryius Thomas
WR2,Eric Decker
WR3,Brandon Stokley
WR4,Andre Caldwell
TE1,Jacob Tamme
TE2,Joel Dreessen
QB1,Tony Romo
QB2,Kyle Orton
RB1,DeMarco Murray
RB2,Felix Jones
RB3,Phillip Tanner
WR1,Miles Austin
WR2,Dez Bryant
WR3,Kevin Ogletree
WR4,Dwayne Harris
TE1,Jason Witten
TE2,John Phillips
QB1,Jay Cutler
QB2,Jason Campbell
RB1,Matt Forte
RB2,Michael Bush
RB3,Lorenzo Booker
WR1,Brandon Marshall
WR2,Devin Hester
WR3,Alshon Jeffery (R)
WR4,Earl Bennett
TE1,Kellen Davis
TE2,Matt Spaeth
QB1,Matt Ryan
QB2,Luke McCown
RB1,Michael Turner
RB2,Jason Snelling
RB3,Jacquizz Rodgers
WR1,Roddy White
WR2,Julio Jones
WR3,Harry Douglas
WR4,Kevin Cone
TE1,Tony Gonzalez
TE2,Michael Palmer
QB1,John Skelton
QB2,Kevin Kolb
RB1,Beanie Wells
RB2,Ryan Williams
RB3,LaRod Stephens-Howling
WR1,Larry Fitzgerald
WR2,Andre Roberts
WR3,Early Doucet
WR4,Michael Floyd (R)
TE1,Todd Heap
TE2,Jeff King
QB1,Ryan Tannehill (R)
QB2,Matt Moore
RB1,Reggie Bush
RB2,Daniel Thomas
RB3,Lamar Miller
WR1,Davone Bess
WR2,Anthony Armstrong
WR3,Legedu Naanee
WR4,Brian Hartline
TE1,Anthony Fasano
TE2,Charles Clay
QB1,Andy Dalton
QB2,Bruce Gradkowski
RB1,BenJarvus Green-Ellis
RB2,Bernard Scott
RB3,Brian Leonard
WR1,A.J. Green
WR2,Mohamed Sanu (R)
WR3,Brandon Tate
WR4,Armon Binns
TE1,Jermaine Gresham
TE2,Orson Charles (R)
QB1,Andrew Luck (R)
QB2,Drew Stanton
RB1,Donald Brown
RB2,Delone Carter
RB3,Mewelde Moore
WR1,Reggie Wayne
WR2,Austin Collie
WR3,Donnie Avery
WR4,T.Y. Hilton (R)
TE1,Coby Fleener (R)
TE2,Dwayne Allen (R)
QB1,Matt Cassel
QB2,Brady Quinn
RB1,Jamaal Charles
RB2,Peyton Hillis
RB3,Dexter McCluster
WR1,Dwayne Bowe
WR2,Jonathan Baldwin
WR3,Steve Breaston
WR4,Devon Wylie (R)
TE1,Tony Moeaki
TE2,Kevin Boss
QB1,Eli Manning
QB2,David Carr
RB1,Ahmad Bradshaw
RB2,David Wilson (R)
RB3,Andre Brown
WR1,Hakeem Nicks
WR2,Victor Cruz
WR3,Rueben Randle (R)
WR4,Domenik Hixon
TE1,Martellus Bennett
TE2,Adrien Robinson
QB1,Matthew Stafford
QB2,Shaun Hill
RB1,Kevin Smith
RB2,Mikel Leshoure ++
RB3,Keiland Williams
WR1,Calvin Johnson
WR2,Titus Young
WR3,Nate Burleson
WR4,Ryan Broyles (R)
TE1,Brandon Pettigrew
TE2,Tony Scheffler
QB1,Cam Newton
QB2,Derek Anderson
RB1,Jonathan Stewart
RB2,DeAngelo Williams
RB3,Mike Tolbert
WR1,Steve Smith
WR2,Brandon LaFell
WR3,Louis Murphy
WR4,Joe Adams
TE1,Greg Olsen
TE2,Gary Barnidge
QB1,Alex Smith
QB2,Colin Kaepernick
RB1,Frank Gore
RB2,Kendall Hunter
RB3,Brandon Jacobs
WR1,Michael Crabtree
WR2,Randy Moss
WR3,Mario Manningham
WR4,A.J. Jenkins (R)
TE1,Vernon Davis
TE2,Delanie Walker
QB1,Tom Brady
QB2,Ryan Mallett
RB1,Stevan Ridley
RB2,Shane Vereen
RB3,Danny Woodhead
WR1,Wes Welker
WR2,Brandon Lloyd
WR3,Julian Edelman
WR4,Greg Salas
TE1,Rob Gronkowski
TE2,Aaron Hernandez
QB1,Brandon Weeden (R)
QB2,Colt McCoy
RB1,Trent Richardson (R)
RB2,Montario Hardesty
RB3,Brandon Jackson
WR1,Greg Little
WR2,Josh Gordon (R)
WR3,Mohamed Massaquoi
WR4,Josh Cribbs
TE1,Benjamin Watson
TE2,Jordan Cameron
QB1,Blaine Gabbert
QB2,Chad Henne
RB1,Maurice Jones-Drew
RB2,Rashad Jennings
RB3,Jalen Parmele
WR1,Justin Blackmon (R)
WR2,Laurent Robinson
WR3,Mike Thomas
WR4,Cecil Shorts
TE1,Marcedes Lewis
TE2,Zach Potter
QB1,Carson Palmer
QB2,Matt Leinart
RB1,Darren McFadden
RB2,Taiwan Jones
RB3,Mike Goodson
WR1,Denarius Moore
WR2,Darrius Heyward-Bey
WR3,Jacoby Ford
WR4,Rod Streater
TE1,Brandon Myers
TE2,Richard Gordon
QB1,Michael Vick
QB2,Nick Foles
RB1,LeSean McCoy
RB2,Dion Lewis
RB3,Bryce Brown (R)
WR1,Jeremy Maclin
WR2,DeSean Jackson
WR3,Jason Avant
WR4,Riley Cooper
TE1,Brent Celek
TE2,Clay Harbor
QB1,Aaron Rodgers
QB2,Graham Harrell
RB1,Cedric Benson
RB2,James Starks
RB3,Alex Green
WR1,Greg Jennings
WR2,Jordy Nelson
WR3,James Jones
WR4,Randall Cobb
TE1,Jermichael Finley
TE2,D.J. Williams
QB1,Drew Brees
QB2,Chase Daniel
RB1,Darren Sproles
RB2,Pierre Thomas
RB3,Mark Ingram
WR1,Marques Colston
WR2,Lance Moore
WR3,Devery Henderson
WR4,Adrian Arrington
TE1,Jimmy Graham
TE2,David Thomas
QB1,Russell Wilson
QB2,Matt Flynn
RB1,Marshawn Lynch
RB2,Robert Turbin (R)
RB3,Leon Washington
WR1,Sidney Rice
WR2,Doug Baldwin
WR3,Braylon Edwards
WR4,Golden Tate
TE1,Zach Miller
TE2,Evan Moore
QB1,Mark Sanchez
QB2,Tim Tebow
RB1,Shonn Greene
RB2,Bilal Powell
RB3,Joe McKnight
WR1,Santonio Holmes
WR2,Stephen Hill (R)
WR3,Chaz Schilens
WR4,Jeremy Kerley
TE1,Dustin Keller
TE2,Jeff Cumberland
QB1,Ben Roethlisberger
QB2,Byron Leftwich
RB1,Isaac Redman
RB2,Rashard Mendenhall
RB3,Jonathan Dwyer
WR1,Mike Wallace
WR2,Antonio Brown
WR3,Emmanuel Sanders
WR4,Jerricho Cotchery
TE1,Heath Miller
TE2,Leonard Pope
QB1,Jake Locker
QB2,Matt Hasselbeck
RB1,Chris Johnson
RB2,Javon Ringer
RB3,Jamie Harper
WR1,Kenny Britt +
WR2,Nate Washington
WR3,Kendall Wright (R)
WR4,Damian Williams
TE1,Jared Cook
TE2,Craig Stevens
QB1,Philip Rivers
QB2,Charlie Whitehurst
RB1,Ryan Mathews
RB2,Ronnie Brown
RB3,Le'Ron McClain
WR1,Robert Meachem
WR2,Malcom Floyd
WR3,Eddie Royal
WR4,Vincent Brown
TE1,Antonio Gates
TE2,Randy McMichael
QB1,Robert Griffin III (R)
QB2,Rex Grossman
RB1,Roy Helu
RB2,Evan Royster
RB3,Alfred Morris
WR1,Pierre Garcon
WR2,Leonard Hankerson
WR3,Santana Moss
WR4,Josh Morgan
TE1,Fred Davis
TE2,Niles Paul
QB1,Christian Ponder
QB2,Joe Webb
RB1,Adrian Peterson
RB2,Toby Gerhart
RB3,Jerome Felton
WR1,Percy Harvin
WR2,Jerome Simpson +++
WR3,Michael Jenkins
WR4,Devin Aromashodu
TE1,Kyle Rudolph
TE2,John Carlson
QB1,Josh Freeman
QB2,Dan Orlovsky
RB1,Doug Martin (R)
RB2,LeGarrette Blount
RB3,D.J. Ware
WR1,Vincent Jackson
WR2,Mike Williams
WR3,Preston Parker
WR4,Arrelious Benn
TE1,Dallas Clark
TE2,Luke Stocker
QB1,Sam Bradford
QB2,Austin Davis
RB1,Steven Jackson
RB2,Isaiah Pead (R)
RB3,Daryl Richardson (R)
WR1,Danny Amendola
WR2,Steve Smith
WR3,Chris Givens
WR4,Brian Quick (R)
TE1,Lance Kendricks
TE2,Matthew Mulligan