,,
depth chart,name rank,team
QB1,Josh Allen (296),BUF
QB2,AJ McCarron (310),BUF
RB1,LeSean McCoy (23),BUF
RB2,Chris Ivory (204),BUF
RB3,Travaris Cadet (304),BUF
WR1,Kelvin Benjamin (92),BUF
WR2,Corey Coleman (230),BUF
WR3,Zay Jones (263),BUF
WR4,-,BUF
TE1,Charles Clay (145),BUF
TE2,-,BUF
QB1,Andy Dalton (219),CIN
QB2,-,CIN
RB1,Joe Mixon (26),CIN
RB2,Giovani Bernard (123),CIN
RB3,Mark Walton (276),CIN
WR1,A.J. Green (17),CIN
WR2,John Ross (130),CIN
WR3,Tyler Boyd (216),CIN
WR4,-,CIN
TE1,Tyler Eifert (146),CIN
TE2,Tyler Kroft (291),CIN
QB1,Andrew Luck (91),IND
QB2,-,IND
RB1,Marlon Mack (124),IND
RB2,Jordan Wilkins (142),IND
RB3,Nyheim Hines (157),IND
WR1,T.Y. Hilton (28),IND
WR2,Ryan Grant (160),IND
WR3,-,IND
WR4,-,IND
TE1,Jack Doyle (118),IND
TE2,Eric Ebron (246),IND
QB1,Case Keenum (266),DEN
QB2,-,DEN
RB1,Royce Freeman (45),DEN
RB2,Devontae Booker (144),DEN
RB3,De'Angelo Henderson (279),DEN
WR1,Demaryius Thomas (34),DEN
WR2,Emmanuel Sanders (57),DEN
WR3,Courtland Sutton (139),DEN
WR4,DaeSean Hamilton (294),DEN
TE1,Jake Butt (259),DEN
TE2,-,DEN
QB1,Ryan Tannehill (220),MIA
QB2,-,MIA
RB1,Kenyan Drake (42),MIA
RB2,Frank Gore (236),MIA
RB3,Kalen Ballage (280),MIA
WR1,DeVante Parker (95),MIA
WR2,Kenny Stills (102),MIA
WR3,Danny Amendola (111),MIA
WR4,Albert Wilson (217),MIA
TE1,Mike Gesicki (247),MIA
TE2,-,MIA
QB1,Tyrod Taylor (163),CLE
QB2,Baker Mayfield (318),CLE
RB1,Duke Johnson Jr. (60),CLE
RB2,Carlos Hyde (74),CLE
RB3,Nick Chubb (193),CLE
WR1,Josh Gordon (39),CLE
WR2,Jarvis Landry (40),CLE
WR3,Antonio Callaway (234),CLE
WR4,-,CLE
TE1,David Njoku (120),CLE
TE2,-,CLE
QB1,Blake Bortles (267),JAX
QB2,-,JAX
RB1,Leonard Fournette (14),JAX
RB2,T.J. Yeldon (206),JAX
RB3,Corey Grant (250),JAX
WR1,Keelan Cole (107),JAX
WR2,Donte Moncrief (141),JAX
WR3,Dede Westbrook (225),JAX
WR4,D.J. Chark (251),JAX
TE1,Austin Seferian-Jenkins (196),JAX
TE2,-,JAX
QB1,Philip Rivers (134),LAC
QB2,-,LAC
RB1,Melvin Gordon (15),LAC
RB2,Austin Ekeler (205),LAC
RB3,Justin Jackson (308),LAC
WR1,Keenan Allen (13),LAC
WR2,Mike Williams (140),LAC
WR3,Tyrell Williams (226),LAC
WR4,Travis Benjamin (229),LAC
TE1,Virgil Green (289),LAC
TE2,-,LAC
QB1,Sam Darnold (269),NYJ
QB2,Josh McCown (301),NYJ
RB1,Isaiah Crowell (62),NYJ
RB2,Bilal Powell (154),NYJ
RB3,Elijah McGuire (208),NYJ
WR1,Robby Anderson (77),NYJ
WR2,Quincy Enunwa (162),NYJ
WR3,Jermaine Kearse (231),NYJ
WR4,Terrelle Pryor Sr. (233),NYJ
TE1,Chris Herndon IV (313),NYJ
TE2,-,NYJ
QB1,Joe Flacco (268),BAL
QB2,Lamar Jackson (315),BAL
RB1,Alex Collins (47),BAL
RB2,Kenneth Dixon (165),BAL
RB3,Javorius Allen (200),BAL
WR1,Michael Crabtree (56),BAL
WR2,John Brown (137),BAL
WR3,Willie Snead (218),BAL
WR4,-,BAL
TE1,Hayden Hurst (249),BAL
TE2,-,BAL
QB1,Deshaun Watson (81),HOU
QB2,-,HOU
RB1,Lamar Miller (51),HOU
RB2,D'Onta Foreman (235),HOU
RB3,Alfred Blue (242),HOU
WR1,DeAndre Hopkins (9),HOU
WR2,Will Fuller V (76),HOU
WR3,Keke Coutee (284),HOU
WR4,-,HOU
TE1,Ryan Griffin (257),HOU
TE2,-,HOU
QB1,Patrick Mahomes (133),KC
QB2,-,KC
RB1,Kareem Hunt (11),KC
RB2,Spencer Ware (207),KC
RB3,Damien Williams (281),KC
WR1,Tyreek Hill (33),KC
WR2,Sammy Watkins (69),KC
WR3,-,KC
WR4,-,KC
TE1,Travis Kelce (24),KC
TE2,-,KC
QB1,Tom Brady (59),NE
QB2,-,NE
RB1,Rex Burkhead (61),NE
RB2,Sony Michel (96),NE
RB3,James White (98),NE
WR1,Chris Hogan (53),NE
WR2,Julian Edelman (84),NE
WR3,-,NE
WR4,-,NE
TE1,Rob Gronkowski (21),NE
TE2,-,NE
QB1,Ben Roethlisberger (116),PIT
QB2,-,PIT
RB1,Le'Veon Bell (1),PIT
RB2,James Conner (209),PIT
RB3,Jaylen Samuels (305),PIT
WR1,Antonio Brown (5),PIT
WR2,JuJu Smith-Schuster (54),PIT
WR3,James Washington (132),PIT
WR4,-,PIT
TE1,Vance McDonald (197),PIT
TE2,-,PIT
QB1,Marcus Mariota (150),TEN
QB2,-,TEN
RB1,Derrick Henry (46),TEN
RB2,Dion Lewis (50),TEN
RB3,-,TEN
WR1,Corey Davis (67),TEN
WR2,Rishard Matthews (114),TEN
WR3,Taywan Taylor (167),TEN
WR4,-,TEN
TE1,Delanie Walker (65),TEN
TE2,-,TEN
QB1,Derek Carr (244),OAK
QB2,-,OAK
RB1,Marshawn Lynch (49),OAK
RB2,Doug Martin (148),OAK
RB3,Jalen Richard (283),OAK
WR1,Amari Cooper (38),OAK
WR2,Jordy Nelson (101),OAK
WR3,Martavis Bryant (215),OAK
WR4,-,OAK
TE1,Jared Cook (211),OAK
TE2,-,OAK
QB1,Dak Prescott (151),DAL
QB2,-,DAL
RB1,Ezekiel Elliott (4),DAL
RB2,Rod Smith (239),DAL
RB3,Tavon Austin (264),DAL
WR1,Allen Hurns (104),DAL
WR2,Michael Gallup (112),DAL
WR3,Cole Beasley (213),DAL
WR4,Terrance Williams (227),DAL
TE1,Blake Jarwin (258),DAL
TE2,-,DAL
QB1,Mitchell Trubisky (212),CHI
QB2,-,CHI
RB1,Jordan Howard (31),CHI
RB2,Tarik Cohen (86),CHI
RB3,-,CHI
WR1,Allen Robinson (36),CHI
WR2,Anthony Miller (138),CHI
WR3,Taylor Gabriel (271),CHI
WR4,-,CHI
TE1,Trey Burton (119),CHI
TE2,-,CHI
QB1,Jameis Winston (245),TB
QB2,Ryan Fitzpatrick (316),TB
RB1,Ronald Jones II (89),TB
RB2,Peyton Barber (99),TB
RB3,Jacquizz Rodgers (277),TB
WR1,Mike Evans (22),TB
WR2,DeSean Jackson (113),TB
WR3,Chris Godwin (129),TB
WR4,Adam Humphries (262),TB
TE1,Cameron Brate (168),TB
TE2,O.J. Howard (210),TB
QB1,Jimmy Garoppolo (135),SF
QB2,-,SF
RB1,Jerick McKinnon (25),SF
RB2,Matt Breida (149),SF
RB3,Joe Williams (278),SF
WR1,Marquise Goodwin (68),SF
WR2,Pierre Garcon (72),SF
WR3,Trent Taylor (273),SF
WR4,-,SF
TE1,George Kittle (161),SF
TE2,-,SF
QB1,Carson Wentz (79),PHI
QB2,Nick Foles (317),PHI
RB1,Jay Ajayi (48),PHI
RB2,Corey Clement (156),PHI
RB3,Darren Sproles (202),PHI
WR1,Alshon Jeffery (43),PHI
WR2,Nelson Agholor (103),PHI
WR3,Mike Wallace (159),PHI
WR4,-,PHI
TE1,Zach Ertz (32),PHI
TE2,-,PHI
QB1,Matthew Stafford (126),DET
QB2,-,DET
RB1,Kerryon Johnson (87),DET
RB2,Theo Riddick (125),DET
RB3,LeGarrette Blount (201),DET
WR1,Golden Tate (37),DET
WR2,Marvin Jones Jr. (41),DET
WR3,Kenny Golladay (106),DET
WR4,-,DET
TE1,Luke Willson (312),DET
TE2,-,DET
QB1,Matt Ryan (128),ATL
QB2,-,ATL
RB1,Devonta Freeman (19),ATL
RB2,Tevin Coleman (63),ATL
RB3,-,ATL
WR1,Julio Jones (8),ATL
WR2,Mohamed Sanu (109),ATL
WR3,Calvin Ridley (131),ATL
WR4,-,ATL
TE1,Austin Hooper (198),ATL
TE2,-,ATL
QB1,Sam Bradford (270),STL
QB2,Josh Rosen (302),STL
RB1,David Johnson (3),STL
RB2,Chase Edmonds (203),STL
RB3,T.J. Logan (282),STL
WR1,Larry Fitzgerald (27),STL
WR2,Christian Kirk (166),STL
WR3,J.J. Nelson (275),STL
WR4,-,STL
TE1,Ricky Seals-Jones (248),STL
TE2,-,STL
QB1,Eli Manning (243),NYG
QB2,-,NYG
RB1,Saquon Barkley (6),NYG
RB2,Jonathan Stewart (237),NYG
RB3,Wayne Gallman (238),NYG
WR1,Odell Beckham Jr. (10),NYG
WR2,Sterling Shepard (93),NYG
WR3,-,NYG
WR4,-,NYG
TE1,Evan Engram (66),NYG
TE2,-,NYG
QB1,Aaron Rodgers (58),GB
QB2,-,GB
RB1,Jamaal Williams (97),GB
RB2,Ty Montgomery (122),GB
RB3,Aaron Jones (147),GB
WR1,Davante Adams (20),GB
WR2,Randall Cobb (70),GB
WR3,Geronimo Allison (232),GB
WR4,J'Mon Moore (252),GB
TE1,Jimmy Graham (75),GB
TE2,-,GB
QB1,Cam Newton (78),CAR
QB2,-,CAR
RB1,Christian McCaffrey (18),CAR
RB2,C.J. Anderson (164),CAR
RB3,-,CAR
WR1,Devin Funchess (71),CAR
WR2,DJ Moore (115),CAR
WR3,Curtis Samuel (272),CAR
WR4,-,CAR
TE1,Greg Olsen (64),CAR
TE2,-,CAR
QB1,Jared Goff (152),LAR
QB2,-,LAR
RB1,Todd Gurley II (2),LAR
RB2,John Kelly (240),LAR
RB3,-,LAR
WR1,Brandin Cooks (44),LAR
WR2,Robert Woods (55),LAR
WR3,Cooper Kupp (82),LAR
WR4,-,LAR
TE1,Gerald Everett (293),LAR
TE2,Tyler Higbee (311),LAR
QB1,Alex Smith (136),WAS
QB2,-,WAS
RB1,Chris Thompson (73),WAS
RB2,Adrian Peterson (121),WAS
RB3,Rob Kelley (194),WAS
WR1,Jamison Crowder (83),WAS
WR2,Josh Doctson (94),WAS
WR3,Paul Richardson (105),WAS
WR4,-,WAS
TE1,Jordan Reed (90),WAS
TE2,Vernon Davis (290),WAS
QB1,Kirk Cousins (117),MIN
QB2,-,MIN
RB1,Dalvin Cook (12),MIN
RB2,Latavius Murray (155),MIN
RB3,-,MIN
WR1,Adam Thielen (29),MIN
WR2,Stefon Diggs (30),MIN
WR3,Laquon Treadwell (274),MIN
WR4,-,MIN
TE1,Kyle Rudolph (100),MIN
TE2,-,MIN
QB1,Drew Brees (127),NO
QB2,-,NO
RB1,Alvin Kamara (7),NO
RB2,Mark Ingram II (52),NO
RB3,Jonathan Williams (241),NO
WR1,Michael Thomas (16),NO
WR2,Cameron Meredith (108),NO
WR3,Ted Ginn Jr. (214),NO
WR4,Tre'Quan Smith (295),NO
TE1,Benjamin Watson (169),NO
TE2,-,NO
QB1,Russell Wilson (80),SEA
QB2,-,SEA
RB1,Chris Carson (85),SEA
RB2,Rashaad Penny (88),SEA
RB3,C.J. Prosise (265),SEA
WR1,Doug Baldwin (35),SEA
WR2,Tyler Lockett (110),SEA
WR3,Brandon Marshall (228),SEA
WR4,-,SEA
TE1,Ed Dickson (314),SEA
TE2,-,SEA