Rank,"Name, Team"
1. (RB1),"Adrian Peterson, MIN"
2. (RB2),"Jamaal Charles, KC"
3. (RB3),"LeSean McCoy, PHI"
4. (RB4),"Matt Forte, CHI"
5. (RB5),"Marshawn Lynch, SEA"
6. (RB6),"Eddie Lacy, GB"
7. (WR1),"Calvin Johnson, DET"
8. (TE1),"Jimmy Graham, NO"
9. (QB1),"Peyton Manning, DEN"
10. (WR2),"Demaryius Thomas, DEN"
11. (RB7),"DeMarco Murray, DAL"
12. (RB8),"Doug Martin, TB"
13. (QB2),"Aaron Rodgers, GB"
14. (WR3),"Dez Bryant, DAL"
15. (RB9),"Le'Veon Bell, PIT"
16. (RB10),"Arian Foster, HOU"
17. (QB3),"Drew Brees, NO"
18. (RB11),"Montee Ball, DEN"
19. (WR4),"A.J. Green, CIN"
20. (RB12),"Giovani Bernard, CIN"
21. (RB13),"Reggie Bush, DET"
22. (QB4),"Matthew Stafford, DET"
23. (RB14),"Zac Stacy, STL"
24. (WR5),"Brandon Marshall, CHI"
25. (QB5),"Andrew Luck, IND"
26. (WR6),"Julio Jones, ATL"
27. (WR7),"Antonio Brown, PIT"
28. (WR8),"Jordy Nelson, GB"
29. (WR9),"Alshon Jeffery, CHI"
30. (TE2),"Julius Thomas, DEN"
31. (RB15),"Ben Tate, CLE"
32. (RB16),"Alfred Morris, WAS"
33. (RB17),"C.J. Spiller, BUF"
34. (WR10),"Andre Johnson, HOU"
35. (WR11),"Randall Cobb, GB"
36. (RB18),"Ray Rice, BAL"
37. (WR12),"Vincent Jackson, TB"
38. (WR13),"Larry Fitzgerald, ARI"
39. (RB19),"Shane Vereen, NE"
40. (QB6),"Cam Newton, CAR"
41. (WR14),"Pierre Garcon, WAS"
42. (WR15),"Keenan Allen, SD"
43. (RB20),"Joique Bell, DET"
44. (WR16),"Victor Cruz, NYG"
45. (TE3),"Rob Gronkowski, NE"
46. (WR17),"Roddy White, ATL"
47. (QB7),"Robert Griffin III, WAS"
48. (RB21),"Ryan Mathews, SD"
49. (TE4),"Vernon Davis, SF"
50. (RB22),"Frank Gore, SF"
51. (WR18),"Michael Crabtree, SF"
52. (WR19),"Julian Edelman, NE"
53. (RB23),"Trent Richardson, IND"
54. (WR20),"DeSean Jackson, WAS"
55. (RB24),"Chris Johnson, NYJ"
56. (QB8),"Nick Foles, PHI"
57. (WR21),"Reggie Wayne, IND"
58. (RB25),"Rashad Jennings, NYG"
59. (WR22),"Percy Harvin, SEA"
60. (RB26),"Toby Gerhart, JAC"
61. (WR23),"Cordarrelle Patterson, MIN"
62. (QB9),"Colin Kaepernick, SF"
63. (WR24),"Golden Tate, DET"
64. (WR25),"Michael Floyd, ARI"
65. (RB27),"Andre Ellington, ARI"
66. (QB10),"Russell Wilson, SEA"
67. (WR26),"T.Y. Hilton, IND"
68. (TE5),"Jordan Cameron, CLE"
69. (WR27),"Emmanuel Sanders, DEN"
70. (WR28),"Torrey Smith, BAL"
71. (RB28),"Pierre Thomas, NO"
72. (QB11),"Matt Ryan, ATL"
73. (WR29),"Kendall Wright, TEN"
74. (WR30),"Jeremy Maclin, PHI"
75. (WR31),"Marques Colston, NO"
76. (QB12),"Tom Brady, NE"
77. (RB29),"Steven Jackson, ATL"
78. (TE6),"Jason Witten, DAL"
79. (WR32),"Mike Wallace, MIA"
80. (WR33),"Eric Decker, NYJ"
81. (WR34),"Terrance Williams, DAL"
82. (RB30),"Stevan Ridley, NE"
83. (WR35),"Anquan Boldin, SF"
84. (RB31),"Danny Woodhead, SD"
85. (WR36),"Cecil Shorts, JAC"
86. (WR37),"DeAndre Hopkins, HOU"
87. (WR38),"Sammy Watkins, BUF"
88. (WR39),"Riley Cooper, PHI"
89. (WR40),"Danny Amendola, NE"
90. (RB32),"Bishop Sankey, TEN"
91. (WR41),"Greg Jennings, MIN"
92. (WR42),"Wes Welker, DEN"
93. (WR43),"Dwayne Bowe, KC"
94. (RB33),"Darren Sproles, PHI"
95. (WR44),"Steve Smith, BAL"
96. (WR45),"Mike Evans, TB"
97. (WR46),"Hakeem Nicks, IND"
98. (QB13),"Tony Romo, DAL"
99. (RB34),"Maurice Jones-Drew, OAK"
100. (WR47),"James Jones, OAK"
101. (DEF1),"Seattle Seahawks, SEA"
102. (TE7),"Dennis Pitta, BAL"
103. (RB35),"Fred Jackson, BUF"
104. (QB14),"Philip Rivers, SD"
105. (TE8),"Greg Olsen, CAR"
106. (RB36),"DeAngelo Williams, CAR"
107. (RB37),"Knowshon Moreno, MIA"
108. (WR48),"Markus Wheaton, PIT"
109. (RB38),"Lamar Miller, MIA"
110. (TE9),"Jordan Reed, WAS"
111. (WR49),"Justin Hunter, TEN"
112. (WR50),"Jarrett Boykin, GB"
113. (QB15),"Jay Cutler, CHI"
114. (RB39),"Khiry Robinson, NO"
115. (TE10),"Kyle Rudolph, MIN"
116. (RB40),"Bernard Pierce, BAL"
117. (WR51),"Rueben Randle, NYG"
118. (TE11),"Martellus Bennett, CHI"
119. (DEF3),"San Francisco 49ers, SF"
120. (QB16),"Ben Roethlisberger, PIT"
121. (RB41),"Chris Ivory, NYJ"
122. (WR52),"Andrew Hawkins, CLE"
123. (DEF4),"Denver Broncos, DEN"
124. (TE12),"Delanie Walker, TEN"
125. (RB42),"Darren McFadden, OAK"
126. (QB17),"Andy Dalton, CIN"
127. (WR53),"Brandin Cooks, NO"
128. (RB43),"Jeremy Hill, CIN"
129. (TE13),"Charles Clay, MIA"
130. (WR54),"Brian Hartline, MIA"
131. (WR55),"Tavon Austin, STL"
132. (RB44),"Roy Helu, WAS"
133. (WR56),"Marqise Lee, JAC"
134. (TE14),"Zach Ertz, PHI"
135. (QB18),"Eli Manning, NYG"
136. (WR57),"Doug Baldwin, SEA"
137. (WR58),"Jerricho Cotchery, CAR"
138. (RB45),"Shonn Greene, TEN"
139. (WR59),"Mike Williams, BUF"
140. (DEF5),"Cincinnati Bengals, CIN"
141. (RB46),"Terrance West, CLE"
142. (WR60),"Denarius Moore, OAK"
143. (DEF2),"Carolina Panthers, CAR"
144. (TE15),"Antonio Gates, SD"
145. (DEF6),"St. Louis Rams, STL"
146. (QB19),"Carson Palmer, ARI"
147. (DEF7),"Arizona Cardinals, ARI"
148. (DEF8),"Kansas City Chiefs, KC"
149. (DEF9),"New England Patriots, NE"
150. (DEF10),"New Orleans Saints, NO"
151. (K1),"Stephen Gostkowski, NE"
152. (K2),"Justin Tucker, BAL"
153. (K3),"Mason Crosby, GB"
154. (K4),"Steven Hauschka, SEA"
155. (K5),"Phil Dawson, SF"
156. (K6),"Nick Novak, SD"
157. (K7),"Adam Vinatieri, IND"
158. (K8),"Blair Walsh, MIN"
159. (K9),"Dan Bailey, DAL"
160. (K10),"Nick Folk, NYJ"
161. (WR61),"Aaron Dobson, NE"
162. (RB47),"Donald Brown, SD"
163. (TE16),"Ladarius Green, SD"
164. (WR62),"Kelvin Benjamin, CAR"
165. (WR63),"Brandon LaFell, NE"
166. (TE17),"Heath Miller, PIT"
167. (RB48),"Mark Ingram, NO"
168. (QB20),"Josh McCown, TB"
169. (WR64),"Rod Streater, OAK"
170. (WR65),"Kenny Stills, NO"
171. (TE18),"Coby Fleener, IND"
172. (WR66),"Harry Douglas, ATL"
173. (QB21),"Joe Flacco, BAL"
174. (RB49),"Carlos Hyde, SF"
175. (WR67),"Andre Roberts, WAS"
176. (TE19),"Tyler Eifert, CIN"
177. (TE20),"Dwayne Allen, IND"
178. (WR68),"Malcom Floyd, SD"
179. (RB50),"C.J. Anderson, DEN"
180. (WR69),"Kenny Britt, STL"
181. (TE21),"Eric Ebron, DET"
182. (RB51),"Dexter McCluster, TEN"
183. (WR70),"Robert Woods, BUF"
184. (WR71),"Odell Beckham, NYG"
185. (QB22),"Ryan Tannehill, MIA"
186. (RB52),"Jordan Todman, JAC"
187. (WR72),"Lance Moore, PIT"
188. (TE22),"Jared Cook, STL"
189. (WR73),"Donnie Avery, KC"
190. (DEF11),"Tampa Bay Buccaneers, TB"
191. (WR74),"Marvin Jones, CIN"
192. (DEF12),"Buffalo Bills, BUF"
193. (QB23),"Alex Smith, KC"
194. (TE23),"Tim Wright, NE"
195. (RB53),"Marcel Reece, OAK"
196. (WR75),"Jordan Matthews, PHI"
197. (TE24),"Garrett Graham, HOU"
198. (RB54),"Knile Davis, KC"
199. (WR76),"Kenbrell Thompkins, NE"
200. (QB24),"Johnny Manziel, CLE"
201. (RB55),"James Starks, GB"
202. (WR77),"Nate Washington, TEN"
203. (TE25),"Austin Seferian-Jenkins, TB"
204. (DEF13),"Houston Texans, HOU"
205. (RB56),"Mike Tolbert, CAR"
206. (RB57),"Jonathan Stewart, CAR"
207. (WR78),"Steve Johnson, SF"
208. (K11),"Robbie Gould, CHI"
209. (RB58),"Devonta Freeman, ATL"
210. (TE26),"Mychal Rivera, OAK"
211. (DEF14),"Baltimore Ravens, BAL"
212. (RB59),"LeGarrette Blount, PIT"
213. (WR79),"Andre Holmes, OAK"
214. (TE27),"Travis Kelce, KC"
215. (WR80),"Santonio Holmes, CHI"
216. (WR81),"Jermaine Kearse, SEA"
217. (RB60),"Andre Williams, NYG"
218. (TE28),"Jace Amaro, NYJ"
219. (WR82),"Chris Givens, STL"
220. (RB61),"Jonathan Dwyer, ARI"
221. (WR83),"Eddie Royal, SD"
222. (TE29),"Scott Chandler, BUF"
223. (WR84),"Jerome Simpson, MIN"
224. (TE30),"Owen Daniels, BAL"
225. (RB62),"Latavius Murray, OAK"
226. (WR85),"Jeremy Kerley, NYJ"
227. (DEF15),"Cleveland Browns, CLE"
228. (RB63),"Ahmad Bradshaw, IND"
229. (QB25),"Geno Smith, NYJ"
230. (RB64),"Christine Michael, SEA"
231. (K12),"Matt Bryant, ATL"
232. (WR86),"Miles Austin, CLE"
233. (RB65),"Jacquizz Rodgers, ATL"
234. (WR87),"Marlon Brown, BAL"
235. (RB66),"Lance Dunbar, DAL"
236. (QB26),"Jake Locker, TEN"
237. (K13),"Shayne Graham, NO"
238. (DEF16),"Pittsburgh Steelers, PIT"
239. (RB67),"Tre Mason, STL"
240. (TE31),"Jermaine Gresham, CIN"