RK,PLAYER,PTS ADDED,PASS,RUN,PENALTY,TOTAL EPA,QB PLAYS,RAW QBR,TOTAL QBR
1,"Tony Romo, DAL",49.2,61.8,3,2.7,80.4,508,79.7,79.2
2,"Aaron Rodgers, GB",57.2,65.3,15.1,5.3,99.1,631,78.3,77.8
3,"Tom Brady, NE",55.7,83.6,3.8,3.9,100.2,677,76.2,77.2
4,"Drew Brees, NO",56.8,86.2,4.9,3.5,106.5,739,74.8,73.2
5,"Peyton Manning, DEN",45,80.3,-3.8,5.6,90.4,674,72,72.6
6,"Russell Wilson, SEA",41.5,35.4,37.4,0.6,91.1,638,71.5,69.7
7,"Ben Roethlisberger, PIT",38.4,70.2,-0.9,3.7,86.1,691,68.7,69.4
8,"Joe Flacco, BAL",34.4,58.9,4.1,7.4,81.1,639,68.2,68.6
9,"Matt Ryan, ATL",39.1,68,3.9,0.8,86.4,716,68.4,66.8
10,"Philip Rivers, LAC",26.9,59.9,0.5,4.5,79.8,681,63.6,65.1
11,"Andrew Luck, IND",27.1,57.1,6.6,3.7,78.5,745,62.6,64
12,"Nick Foles, PHI",14.5,33.4,1.8,3.2,42.3,352,64.1,63.6
13,"Ryan Fitzpatrick, HOU",12.8,26.9,6.4,1.5,42.4,402,61.1,61.8
14,"Eli Manning, NYG",24.8,60.4,1.4,2.8,75.5,689,62.5,61
15,"Ryan Tannehill, MIA",19.4,44.2,7,4.3,73.8,730,59.3,60.5
16,"Colin Kaepernick, SF",20.8,30.3,20.4,2.4,74.2,668,60.9,58.1
17,"Cam Newton, CAR",12.7,17.9,23.4,1.7,56.6,609,57.3,56.2
18,"Mark Sanchez, PHI",8,23.2,0.8,0.9,34,374,57.5,55.3
19,"Alex Smith, KC",2.8,25.6,6.6,0.8,51.4,590,51.7,52
20,"Teddy Bridgewater, MIN",6.4,23.2,8.3,2,50.3,509,54.4,51.6
21,"Jay Cutler, CHI",3.5,32.6,9.2,-0.6,54.3,678,51.8,50.9
22,"Andy Dalton, CIN",-2.5,30,5.5,2.6,45.8,590,48.5,49
23,"Geno Smith, NYJ",-5.5,22.5,-0.3,1.2,36,477,45.9,45.8
24,"Austin Davis, LAR",-5.6,8.3,-1,1.3,20.8,341,44.2,44.8
25,"Matthew Stafford, DET",-5.4,33.3,-1.9,4.2,53.5,711,47.3,44.7
26,"Kyle Orton, BUF",-9,21.5,-0.5,0.7,34.7,519,43.9,44.5
27,"Derek Carr, OAK",-19.4,28.7,-2.4,0.2,34.1,680,40.1,42.1
28,"Brian Hoyer, CLE",-17.4,19.2,-3.8,1.1,28.4,521,38.4,38.7
29,"Josh McCown, TB",-14,0.2,5.8,-0.2,20.9,404,38,34.6
30,"Blake Bortles, JAX",-43.7,-24.9,14.3,1.8,11.4,614,26.7,28